question,ar,en,es,it,de,tr,ru,ur,fa,fr,in
I prefer to stick to a routine rather than try new things.,أفضّل الالتزام بالروتين بدلاً من تجربة أشياء جديدة.,I prefer to stick to a routine rather than try new things.,Prefiero seguir una rutina que probar cosas nuevas.,Preferisco attenermi alla routine piuttosto che provare cose nuove.,"Ich bleibe lieber einer Routine treu, als neue Dinge auszuprobieren.",Yeni şeyler denemek yerine rutine bağlı kalmayı tercih ederim.,"Я предпочитаю придерживаться рутины, а не пробовать что-то новое.",میں نئی ​​چیزوں کو آزمانے کے بجائے معمول پر قائم رہنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم به یک روتین پایبند باشم تا اینکه چیزهای جدید را امتحان کنم.,Je préfère m'en tenir à une routine plutôt que d'essayer de nouvelles choses.,मैं नई चीज़ें आज़माने के बजाय एक रूटीन पर टिके रहना पसंद करता हूँ।
I am often the life of the party and enjoy being in the spotlight.,غالبًا ما أعيش حياة الحفلة وأستمتع بكوني في دائرة الضوء.,I am often the life of the party and enjoy being in the spotlight.,A menudo soy el alma de la fiesta y disfruto ser el centro de atención.,Spesso sono l'anima della festa e mi piace stare sotto i riflettori.,"Ich bin oft der Mittelpunkt der Party und genieße es, im Rampenlicht zu stehen.",Ben genellikle partinin hayatıyım ve ilgi odağı olmaktan keyif alıyorum.,Я часто становлюсь душой вечеринки и мне нравится быть в центре внимания.,میں اکثر پارٹی کی زندگی ہوتا ہوں اور اسپاٹ لائٹ میں رہنے سے لطف اندوز ہوتا ہوں۔,من اغلب زندگی مهمانی هستم و از بودن در کانون توجه لذت می برم.,Je suis souvent la vie de la fête et j'aime être sous les projecteurs.,मैं अक्सर पार्टी की जान होती हूं और सुर्खियों में रहने का आनंद लेती हूं।
I tend to focus on the details rather than the big picture.,أميل إلى التركيز على التفاصيل بدلاً من الصورة الكبيرة.,I tend to focus on the details rather than the big picture.,Tiendo a centrarme en los detalles más que en el panorama general.,Tendo a concentrarmi sui dettagli piuttosto che sul quadro generale.,Ich konzentriere mich eher auf die Details als auf das große Ganze.,Büyük resimden ziyade ayrıntılara odaklanmayı tercih ediyorum.,"Я склонен сосредотачиваться на деталях, а не на общей картине.",میں بڑی تصویر کے بجائے تفصیلات پر توجہ مرکوز کرتا ہوں۔,من تمایل دارم که به جای تصویر بزرگ، روی جزئیات تمرکز کنم.,J'ai tendance à me concentrer sur les détails plutôt que sur la situation dans son ensemble.,मैं बड़ी तस्वीर के बजाय विवरण पर ध्यान केंद्रित करता हूं।
I value harmony and avoid conflicts whenever possible.,أقدر الوئام وتجنب الصراعات كلما أمكن ذلك.,I value harmony and avoid conflicts whenever possible.,Valoro la armonía y evito los conflictos siempre que sea posible.,Apprezzo l'armonia ed evito i conflitti quando possibile.,"Ich lege Wert auf Harmonie und vermeide Konflikte, wann immer es möglich ist.",Uyuma değer veriyorum ve mümkün olduğunca çatışmalardan kaçınıyorum.,Я ценю гармонию и по возможности избегаю конфликтов.,میں ہم آہنگی کی قدر کرتا ہوں اور جب بھی ممکن ہو تنازعات سے گریز کرتا ہوں۔,من برای هماهنگی ارزش قائل هستم و در صورت امکان از درگیری اجتناب می کنم.,J'apprécie l'harmonie et j'évite les conflits autant que possible.,मैं सद्भाव को महत्व देता हूं और जब भी संभव हो टकराव से बचता हूं।
I enjoy challenging tasks that require problem-solving.,أنا أستمتع بالمهام الصعبة التي تتطلب حل المشكلات.,I enjoy challenging tasks that require problem-solving.,Disfruto de tareas desafiantes que requieren resolución de problemas.,Mi piacciono i compiti impegnativi che richiedono la risoluzione di problemi.,"Ich habe Freude an herausfordernden Aufgaben, die eine Problemlösung erfordern.",Problem çözmeyi gerektiren zorlayıcı görevlerden hoşlanırım.,"Мне нравятся сложные задачи, требующие решения проблем.",میں مشکل کاموں سے لطف اندوز ہوتا ہوں جن کے لیے مسئلہ حل کرنے کی ضرورت ہوتی ہے۔,من از کارهای چالش برانگیز که نیاز به حل مسئله دارند لذت می برم.,J'aime les tâches stimulantes qui nécessitent la résolution de problèmes.,मुझे ऐसे चुनौतीपूर्ण कार्यों में आनंद आता है जिनमें समस्या-समाधान की आवश्यकता होती है।
I prefer to work on multiple projects at once rather than focus on one at a time.,أفضّل العمل على مشاريع متعددة في وقت واحد بدلاً من التركيز على مشروع واحد في كل مرة.,I prefer to work on multiple projects at once rather than focus on one at a time.,Prefiero trabajar en varios proyectos a la vez que centrarme en uno a la vez.,Preferisco lavorare su più progetti contemporaneamente piuttosto che concentrarmi su uno alla volta.,"Ich bevorzuge es, an mehreren Projekten gleichzeitig zu arbeiten, anstatt mich auf eines nach dem anderen zu konzentrieren.",Tek tek odaklanmak yerine birden fazla proje üzerinde çalışmayı tercih ederim.,"Я предпочитаю работать над несколькими проектами одновременно, а не концентрироваться на одном.",میں ایک وقت میں ایک پر توجہ مرکوز کرنے کے بجائے ایک ہی وقت میں متعدد پروجیکٹس پر کام کرنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم به جای تمرکز روی یک پروژه در یک زمان، روی چندین پروژه همزمان کار کنم.,Je préfère travailler sur plusieurs projets à la fois plutôt que de me concentrer sur un seul à la fois.,मैं एक समय में एक पर ध्यान केंद्रित करने के बजाय एक साथ कई परियोजनाओं पर काम करना पसंद करता हूं।
I find it easy to adapt to new situations and environments.,أجد أنه من السهل التكيف مع المواقف والبيئات الجديدة.,I find it easy to adapt to new situations and environments.,Me resulta fácil adaptarme a nuevas situaciones y entornos.,Trovo facile adattarmi a nuove situazioni e ambienti.,"Es fällt mir leicht, mich an neue Situationen und Umgebungen anzupassen.",Yeni durumlara ve ortamlara uyum sağlamayı kolay buluyorum.,Мне легко адаптироваться к новым ситуациям и окружению.,مجھے نئے حالات اور ماحول کے مطابق ڈھالنا آسان لگتا ہے۔,برای من سازگاری با شرایط و محیط های جدید آسان است.,Je trouve qu'il est facile de m'adapter à de nouvelles situations et environnements.,मुझे नई परिस्थितियों और वातावरण में ढलना आसान लगता है।
I rely on my gut feelings when making decisions.,أعتمد على مشاعري الغريزية عند اتخاذ القرارات.,I rely on my gut feelings when making decisions.,Confío en mis instintos al tomar decisiones.,Mi affido alle mie sensazioni viscerali quando prendo decisioni.,Bei Entscheidungen verlasse ich mich auf mein Bauchgefühl.,Karar verirken içgüdülerime güvenirim.,"Принимая решения, я полагаюсь на свою интуицию.",فیصلے کرتے وقت میں اپنے جذبات پر بھروسہ کرتا ہوں۔,هنگام تصمیم گیری بر احساسات درونی خود تکیه می کنم.,Je me fie à mon intuition pour prendre des décisions.,निर्णय लेते समय मैं अपनी आंतरिक भावनाओं पर भरोसा करता हूं।
I am analytical and enjoy dissecting complex issues.,أنا تحليلي وأستمتع بتشريح القضايا المعقدة.,I am analytical and enjoy dissecting complex issues.,Soy analítico y disfruto analizando temas complejos.,Sono analitico e mi piace analizzare questioni complesse.,"Ich bin analytisch und habe Freude daran, komplexe Sachverhalte zu analysieren.",Analitik biriyim ve karmaşık konuları incelemekten hoşlanıyorum.,Я аналитик и люблю анализировать сложные вопросы.,میں تجزیاتی ہوں اور پیچیدہ مسائل کو الگ کرنے سے لطف اندوز ہوں۔,من تحلیل گر هستم و از کالبد شکافی مسائل پیچیده لذت می برم.,Je suis analytique et j'aime disséquer des problèmes complexes.,मैं विश्लेषणात्मक हूं और जटिल मुद्दों का विश्लेषण करने में आनंद लेता हूं।
I prefer to have a flexible schedule rather than a rigid one.,أفضل أن يكون لدي جدول زمني مرن بدلاً من جدول زمني صارم.,I prefer to have a flexible schedule rather than a rigid one.,Prefiero tener un horario flexible que uno rígido.,Preferisco avere un programma flessibile piuttosto che rigido.,Ich bevorzuge einen flexiblen Zeitplan gegenüber einem starren.,Katı bir program yerine esnek bir programa sahip olmayı tercih ederim.,"Я предпочитаю иметь гибкий график, а не жесткий.",میں سخت شیڈول کے بجائے لچکدار شیڈول کو ترجیح دیتا ہوں۔,من ترجیح می دهم یک برنامه زمانی انعطاف پذیر داشته باشم تا برنامه ای سفت و سخت.,Je préfère avoir un horaire flexible plutôt qu'un horaire rigide.,मैं कठोर शेड्यूल के बजाय लचीला शेड्यूल पसंद करता हूं।
I am outgoing and enjoy meeting new people.,أنا صادرة واستمتع بلقاء أشخاص جدد.,I am outgoing and enjoy meeting new people.,Soy extrovertida y disfruto conocer gente nueva.,Sono estroverso e mi piace incontrare nuove persone.,Ich bin kontaktfreudig und lerne gerne neue Leute kennen.,Dışa dönük biriyim ve yeni insanlarla tanışmaktan keyif alıyorum.,Я общительный и люблю знакомиться с новыми людьми.,میں سبکدوش ہوں اور نئے لوگوں سے مل کر لطف اندوز ہوں۔,من اهل معاشرت هستم و از ملاقات با افراد جدید لذت می برم.,Je suis sociable et j'aime rencontrer de nouvelles personnes.,मैं मिलनसार हूं और नए लोगों से मिलना पसंद करता हूं।
I enjoy taking risks and trying new things.,أنا أستمتع بالمخاطرة وتجربة أشياء جديدة.,I enjoy taking risks and trying new things.,Disfruto tomando riesgos y probando cosas nuevas.,Mi piace correre rischi e provare cose nuove.,"Ich genieße es, Risiken einzugehen und neue Dinge auszuprobieren.",Risk almayı ve yeni şeyler denemeyi seviyorum.,Мне нравится рисковать и пробовать что-то новое.,مجھے خطرہ مول لینے اور نئی چیزوں کو آزمانے میں لطف آتا ہے۔,از ریسک کردن و امتحان کردن چیزهای جدید لذت می برم.,J'aime prendre des risques et essayer de nouvelles choses.,मुझे जोखिम लेने और नई चीज़ें आज़माने में मज़ा आता है।
I find it draining to be around large groups of people for extended periods.,أجد أنه من المرهق التواجد حول مجموعات كبيرة من الناس لفترات طويلة.,I find it draining to be around large groups of people for extended periods.,Me resulta agotador estar rodeado de grandes grupos de personas durante períodos prolongados.,Trovo faticoso stare con grandi gruppi di persone per periodi prolungati.,"Ich finde es anstrengend, über längere Zeit mit großen Menschengruppen zusammen zu sein.",Uzun süreler boyunca büyük insan gruplarının yanında olmanın yorucu olduğunu düşünüyorum.,"Я считаю, что находиться среди больших групп людей в течение длительного времени утомительно.",مجھے لگتا ہے کہ طویل عرصے تک لوگوں کے بڑے گروپوں کے ارد گرد رہنا مشکل ہے۔,به نظر من حضور طولانی مدت در اطراف گروه های بزرگ مردم خسته کننده است.,Je trouve épuisant de côtoyer de grands groupes de personnes pendant de longues périodes.,मुझे लगता है कि लंबे समय तक लोगों के बड़े समूहों के आसपास रहना थका देने वाला है।
I prefer to plan ahead rather than be spontaneous.,أفضّل التخطيط للمستقبل بدلاً من أن أكون عفوياً.,I prefer to plan ahead rather than be spontaneous.,Prefiero planificar con anticipación que ser espontáneo.,Preferisco pianificare in anticipo piuttosto che essere spontaneo.,"Ich plane lieber im Voraus, als spontan zu sein.",Spontane davranmak yerine önceden plan yapmayı tercih ederim.,"Я предпочитаю планировать заранее, а не действовать спонтанно.",میں بے ساختہ ہونے کی بجائے آگے کی منصوبہ بندی کرنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم از قبل برنامه ریزی کنم تا اینکه خودجوش باشم.,Je préfère planifier à l'avance plutôt que d'être spontané.,मैं सहज होने के बजाय आगे की योजना बनाना पसंद करता हूं।
I am highly sensitive to criticism and take it personally.,أنا حساس للغاية تجاه النقد وأأخذه على محمل شخصي.,I am highly sensitive to criticism and take it personally.,Soy muy sensible a las críticas y las tomo como algo personal.,Sono molto sensibile alle critiche e le prendo sul personale.,Ich reagiere sehr empfindlich auf Kritik und nehme sie persönlich.,Eleştirilere karşı son derece duyarlıyım ve kişisel olarak alıyorum.,Я очень чувствителен к критике и принимаю ее на свой счет.,میں تنقید کے لیے بہت حساس ہوں اور اسے ذاتی طور پر لیتا ہوں۔,من به شدت به انتقاد حساس هستم و آن را شخصی می گیرم.,Je suis très sensible aux critiques et je les prends personnellement.,मैं आलोचना के प्रति अत्यधिक संवेदनशील हूं और इसे व्यक्तिगत रूप से लेता हूं।
I am assertive and confident in my abilities.,أنا حازم وواثق في قدراتي.,I am assertive and confident in my abilities.,Soy asertivo y confiado en mis capacidades.,Sono assertivo e fiducioso nelle mie capacità.,Ich bin selbstbewusst und von meinen Fähigkeiten überzeugt.,Yeteneklerime güveniyorum ve iddialıyım.,Я напорист и уверен в своих силах.,میں اپنی صلاحیتوں پر ثابت قدم اور پراعتماد ہوں۔,من قاطع هستم و به توانایی هایم اطمینان دارم.,Je suis assertif et confiant en mes capacités.,मैं अपनी क्षमताओं में दृढ़ और आश्वस्त हूं।
I rely on my past experiences to guide my decisions.,أعتمد على تجاربي السابقة لتوجيه قراراتي.,I rely on my past experiences to guide my decisions.,Confío en mis experiencias pasadas para guiar mis decisiones.,Mi affido alle mie esperienze passate per guidare le mie decisioni.,Ich verlasse mich bei meinen Entscheidungen auf meine Erfahrungen aus der Vergangenheit.,Kararlarımı yönlendirmek için geçmiş deneyimlerime güvenirim.,Я полагаюсь на свой прошлый опыт при принятии решений.,میں اپنے فیصلوں کی رہنمائی کے لیے اپنے ماضی کے تجربات پر انحصار کرتا ہوں۔,من برای هدایت تصمیماتم به تجربیات گذشته خود تکیه می کنم.,Je m'appuie sur mes expériences passées pour guider mes décisions.,मैं अपने निर्णयों का मार्गदर्शन करने के लिए अपने पिछले अनुभवों पर भरोसा करता हूं।
I enjoy helping others and making a positive impact.,أنا أستمتع بمساعدة الآخرين وإحداث تأثير إيجابي.,I enjoy helping others and making a positive impact.,Disfruto ayudar a los demás y generar un impacto positivo.,Mi piace aiutare gli altri e avere un impatto positivo.,"Es macht mir Spaß, anderen zu helfen und etwas Positives zu bewirken.",Başkalarına yardım etmekten ve olumlu bir etki yaratmaktan keyif alıyorum.,Мне нравится помогать другим и оказывать положительное влияние.,مجھے دوسروں کی مدد کرنے اور مثبت اثر ڈالنے میں لطف آتا ہے۔,از کمک به دیگران و ایجاد تأثیر مثبت لذت می برم.,J'aime aider les autres et avoir un impact positif.,मुझे दूसरों की मदद करने और सकारात्मक प्रभाव डालने में आनंद आता है।
I enjoy exploring different cultures and traditions.,أنا أستمتع باستكشاف الثقافات والتقاليد المختلفة.,I enjoy exploring different cultures and traditions.,Disfruto explorando diferentes culturas y tradiciones.,Mi piace esplorare culture e tradizioni diverse.,"Es macht mir Spaß, verschiedene Kulturen und Traditionen zu erkunden.",Farklı kültürleri ve gelenekleri keşfetmeyi seviyorum.,Мне нравится изучать разные культуры и традиции.,میں مختلف ثقافتوں اور روایات کو تلاش کرنے سے لطف اندوز ہوتا ہوں۔,من از کشف فرهنگ ها و سنت های مختلف لذت می برم.,J'aime explorer différentes cultures et traditions.,मुझे विभिन्न संस्कृतियों और परंपराओं की खोज करने में आनंद आता है।
I like to have control over my surroundings.,أحب أن أتحكم في محيطي.,I like to have control over my surroundings.,Me gusta tener control sobre mi entorno.,Mi piace avere il controllo su ciò che mi circonda.,Ich möchte die Kontrolle über meine Umgebung haben.,Çevrem üzerinde kontrol sahibi olmayı seviyorum.,Мне нравится контролировать свое окружение.,مجھے اپنے اردگرد پر قابو رکھنا پسند ہے۔,من دوست دارم بر محیط اطرافم کنترل داشته باشم.,J'aime avoir le contrôle sur mon environnement.,मुझे अपने परिवेश पर नियंत्रण रखना पसंद है।
I am highly self-disciplined and organized.,أنا منضبط ومنظم للغاية.,I am highly self-disciplined and organized.,Soy muy autodisciplinado y organizado.,Sono altamente autodisciplinato e organizzato.,Ich bin sehr selbstdiszipliniert und organisiert.,Son derece disiplinli ve düzenliyim.,Я очень дисциплинирован и организован.,میں انتہائی خود نظم و ضبط اور منظم ہوں۔,من بسیار منظم و منظم هستم.,Je suis très discipliné et organisé.,मैं अत्यधिक आत्म-अनुशासित और संगठित हूं।
I enjoy discussing theoretical concepts and ideas.,أنا أستمتع بمناقشة المفاهيم والأفكار النظرية.,I enjoy discussing theoretical concepts and ideas.,Disfruto discutiendo conceptos e ideas teóricas.,Mi piace discutere concetti e idee teoriche.,"Es macht mir Spaß, theoretische Konzepte und Ideen zu diskutieren.",Teorik kavram ve fikirleri tartışmaktan hoşlanırım.,Мне нравится обсуждать теоретические концепции и идеи.,مجھے نظریاتی تصورات اور نظریات پر بحث کرنے میں مزہ آتا ہے۔,از بحث در مورد مفاهیم و ایده های نظری لذت می برم.,J'aime discuter de concepts et d'idées théoriques.,मुझे सैद्धांतिक अवधारणाओं और विचारों पर चर्चा करने में आनंद आता है।
I am pragmatic and focus on practical solutions.,أنا عملي وأركز على الحلول العملية.,I am pragmatic and focus on practical solutions.,Soy pragmático y me centro en soluciones prácticas.,Sono pragmatico e mi concentro sulle soluzioni pratiche.,Ich bin pragmatisch und konzentriere mich auf praktische Lösungen.,Pragmatik biriyim ve pratik çözümlere odaklanıyorum.,Я прагматик и ориентируюсь на практические решения.,میں عملی ہوں اور عملی حل پر توجہ مرکوز کرتا ہوں۔,من عملگرا هستم و روی راه حل های عملی تمرکز می کنم.,Je suis pragmatique et me concentre sur des solutions pratiques.,मैं व्यावहारिक हूं और व्यावहारिक समाधानों पर ध्यान केंद्रित करता हूं।
I am sensitive to others' emotions and try to support them.,أنا حساس لمشاعر الآخرين وأحاول دعمهم.,I am sensitive to others' emotions and try to support them.,Soy sensible a las emociones de los demás y trato de apoyarlos.,Sono sensibile alle emozioni degli altri e cerco di sostenerli.,"Ich bin sensibel für die Gefühle anderer und versuche, sie zu unterstützen.",Başkalarının duygularına duyarlıyım ve onları desteklemeye çalışıyorum.,Я чувствителен к эмоциям других и стараюсь их поддерживать.,میں دوسروں کے جذبات کے بارے میں حساس ہوں اور ان کا ساتھ دینے کی کوشش کرتا ہوں۔,من نسبت به احساسات دیگران حساس هستم و سعی می کنم از آنها حمایت کنم.,Je suis sensible aux émotions des autres et j'essaie de les soutenir.,मैं दूसरों की भावनाओं के प्रति संवेदनशील हूं और उनका समर्थन करने का प्रयास करता हूं।
I prefer to stick to a plan rather than deviate from it.,أفضّل الالتزام بالخطة بدلاً من الانحراف عنها.,I prefer to stick to a plan rather than deviate from it.,Prefiero ceñirme a un plan que desviarme de él.,Preferisco attenermi a un piano piuttosto che deviarne.,"Ich halte mich lieber an einen Plan, als davon abzuweichen.",Bir plandan sapmak yerine ona bağlı kalmayı tercih ederim.,"Я предпочитаю придерживаться плана, а не отклоняться от него.",میں اس سے ہٹنے کے بجائے کسی منصوبے پر قائم رہنا پسند کرتا ہوں۔,من ترجیح می دهم به یک برنامه پایبند باشم تا اینکه از آن منحرف شوم.,Je préfère m'en tenir à un plan plutôt que de m'en écarter.,मैं किसी योजना से भटकने के बजाय उस पर कायम रहना पसंद करता हूं।
I enjoy taking on new challenges and pushing my limits.,أنا أستمتع بمواجهة التحديات الجديدة ودفع حدودي.,I enjoy taking on new challenges and pushing my limits.,Disfruto asumiendo nuevos retos y superando mis límites.,Mi piace affrontare nuove sfide e superare i miei limiti.,"Es macht mir Spaß, mich neuen Herausforderungen zu stellen und an meine Grenzen zu gehen.",Yeni zorluklarla karşılaşmaktan ve sınırlarımı zorlamaktan keyif alıyorum.,Мне нравится решать новые задачи и расширять свои возможности.,میں نئے چیلنجوں کا مقابلہ کرنے اور اپنی حدود کو آگے بڑھانے سے لطف اندوز ہوتا ہوں۔,از قبول چالش های جدید و کنار زدن محدودیت هایم لذت می برم.,J'aime relever de nouveaux défis et repousser mes limites.,मुझे नई चुनौतियाँ स्वीकार करने और अपनी सीमाएँ पार करने में आनंद आता है।
I am focused on the future and setting long-term goals.,أنا أركز على المستقبل وأضع أهدافًا طويلة المدى.,I am focused on the future and setting long-term goals.,Estoy enfocado en el futuro y estableciendo objetivos a largo plazo.,Sono concentrato sul futuro e mi pongo obiettivi a lungo termine.,Ich konzentriere mich auf die Zukunft und setze langfristige Ziele.,Geleceğe odaklanıyorum ve uzun vadeli hedefler belirliyorum.,Я сосредоточен на будущем и ставлю долгосрочные цели.,میں مستقبل پر توجہ مرکوز کر رہا ہوں اور طویل مدتی اہداف طے کر رہا ہوں۔,من روی آینده و تعیین اهداف بلندمدت متمرکز هستم.,Je me concentre sur l'avenir et je me fixe des objectifs à long terme.,मैं भविष्य और दीर्घकालिक लक्ष्य निर्धारित करने पर ध्यान केंद्रित कर रहा हूं।
I enjoy spending time alone to recharge my energy.,أنا أستمتع بقضاء الوقت بمفردي لإعادة شحن طاقتي.,I enjoy spending time alone to recharge my energy.,Disfruto pasar tiempo solo para recargar mi energía.,Mi piace passare il tempo da solo per ricaricare le mie energie.,"Ich genieße es, Zeit alleine zu verbringen, um neue Energie zu tanken.",Enerjimi yeniden şarj etmek için yalnız vakit geçirmekten hoşlanıyorum.,"Мне нравится проводить время в одиночестве, чтобы зарядиться энергией.",میں اپنی توانائی کو ری چارج کرنے کے لیے اکیلے وقت گزارنے سے لطف اندوز ہوتا ہوں۔,از گذراندن وقت تنهایی برای شارژ مجدد انرژی خود لذت می برم.,J'aime passer du temps seul pour recharger mon énergie.,मुझे अपनी ऊर्जा को रिचार्ज करने के लिए अकेले समय बिताना अच्छा लगता है।
I like to follow a schedule and stick to plans.,أحب اتباع جدول زمني والالتزام بالخطط.,I like to follow a schedule and stick to plans.,Me gusta seguir un horario y ceñirme a los planes.,Mi piace seguire un programma e attenermi ai piani.,Ich folge gerne einem Zeitplan und halte mich an Pläne.,Bir programı takip etmeyi ve planlara bağlı kalmayı severim.,Мне нравится следовать графику и придерживаться планов.,میں ایک شیڈول پر عمل کرنا اور منصوبوں پر قائم رہنا پسند کرتا ہوں۔,من دوست دارم برنامه ای را دنبال کنم و به برنامه ها پایبند باشم.,J'aime suivre un emploi du temps et m'en tenir aux plans.,मुझे एक शेड्यूल का पालन करना और योजनाओं पर कायम रहना पसंद है।
I often explore new ideas and possibilities.,كثيرًا ما أستكشف أفكارًا وإمكانيات جديدة.,I often explore new ideas and possibilities.,A menudo exploro nuevas ideas y posibilidades.,Spesso esploro nuove idee e possibilità.,Ich erforsche oft neue Ideen und Möglichkeiten.,Sık sık yeni fikirleri ve olasılıkları keşfederim.,Я часто исследую новые идеи и возможности.,میں اکثر نئے خیالات اور امکانات تلاش کرتا ہوں۔,من اغلب ایده ها و امکانات جدید را کشف می کنم.,J'explore souvent de nouvelles idées et possibilités.,मैं अक्सर नए विचारों और संभावनाओं की खोज करता हूँ।
I find it easy to make new friends in social settings.,أجد أنه من السهل تكوين صداقات جديدة في البيئات الاجتماعية.,I find it easy to make new friends in social settings.,Me resulta fácil hacer nuevos amigos en entornos sociales.,Trovo facile fare nuove amicizie nei contesti sociali.,"Es fällt mir leicht, in sozialen Netzwerken neue Freunde zu finden.",Sosyal ortamlarda yeni arkadaşlar edinmeyi kolay buluyorum.,Мне легко заводить новых друзей в социальных сетях.,مجھے سماجی ترتیبات میں نئے دوست بنانا آسان لگتا ہے۔,پیدا کردن دوستان جدید در محیط های اجتماعی برای من آسان است.,Je trouve facile de me faire de nouveaux amis dans les milieux sociaux.,मुझे सामाजिक परिवेश में नए दोस्त बनाना आसान लगता है।
I trust my instincts when making decisions.,أنا أثق بغرائزي عند اتخاذ القرارات.,I trust my instincts when making decisions.,Confío en mi instinto a la hora de tomar decisiones.,Mi fido del mio istinto quando prendo decisioni.,"Ich vertraue meinen Instinkten, wenn ich Entscheidungen treffe.",Karar verirken içgüdülerime güvenirim.,Я доверяю своей интуиции при принятии решений.,میں فیصلے کرتے وقت اپنی جبلت پر بھروسہ کرتا ہوں۔,من هنگام تصمیم گیری به غریزه خود اعتماد دارم.,Je fais confiance à mon instinct lorsque je prends des décisions.,निर्णय लेते समय मैं अपनी अंतरात्मा पर भरोसा करता हूं।
I rely on past experiences and practicality when solving problems.,أعتمد على الخبرات السابقة والتطبيق العملي عند حل المشكلات.,I rely on past experiences and practicality when solving problems.,Me baso en experiencias pasadas y en la practicidad a la hora de resolver problemas.,Mi affido alle esperienze passate e alla praticità quando risolvo i problemi.,Bei der Lösung von Problemen verlasse ich mich auf Erfahrungen aus der Vergangenheit und auf Praktikabilität.,Sorunları çözerken geçmiş deneyimlerime ve pratikliğe güvenirim.,При решении проблем я полагаюсь на прошлый опыт и практичность.,میں مسائل کو حل کرتے وقت ماضی کے تجربات اور عملییت پر بھروسہ کرتا ہوں۔,در حل مشکلات به تجربیات گذشته و عملی بودن تکیه می کنم.,Je m'appuie sur les expériences passées et sur le sens pratique pour résoudre les problèmes.,समस्याओं को हल करते समय मैं पिछले अनुभवों और व्यावहारिकता पर भरोसा करता हूं।
I prioritize the feelings and emotions of others.,أعطي الأولوية لمشاعر وعواطف الآخرين.,I prioritize the feelings and emotions of others.,Priorizo ​​los sentimientos y emociones de los demás.,Dò la priorità ai sentimenti e alle emozioni degli altri.,Ich priorisiere die Gefühle und Emotionen anderer.,Başkalarının duygu ve duygularına öncelik veririm.,Я уделяю приоритетное внимание чувствам и эмоциям других.,میں دوسروں کے احساسات اور جذبات کو ترجیح دیتا ہوں۔,من احساسات و عواطف دیگران را در اولویت قرار می دهم.,Je donne la priorité aux sentiments et aux émotions des autres.,मैं दूसरों की भावनाओं और भावनाओं को प्राथमिकता देता हूं।
I enjoy the thrill of spontaneity and unexpected adventures.,أنا أستمتع بتشويق العفوية والمغامرات غير المتوقعة.,I enjoy the thrill of spontaneity and unexpected adventures.,Disfruto de la emoción de la espontaneidad y las aventuras inesperadas.,Mi piace il brivido della spontaneità e delle avventure inaspettate.,Ich genieße den Nervenkitzel der Spontanität und unerwarteter Abenteuer.,Kendiliğindenliğin ve beklenmedik maceraların heyecanından keyif alıyorum.,Мне нравится азарт спонтанности и неожиданных приключений.,میں بے ساختہ اور غیر متوقع مہم جوئی کے سنسنی سے لطف اندوز ہوں۔,من از هیجان خودانگیختگی و ماجراهای غیرمنتظره لذت می برم.,J'apprécie le frisson de la spontanéité et des aventures inattendues.,मैं सहजता और अप्रत्याशित रोमांच के रोमांच का आनंद लेता हूं।
I prefer to work on one task at a time until it's completed.,أفضّل العمل على مهمة واحدة في كل مرة حتى تنتهي.,I prefer to work on one task at a time until it's completed.,Prefiero trabajar en una tarea a la vez hasta completarla.,Preferisco lavorare su un compito alla volta finché non viene completato.,"Ich bevorzuge es, an einer Aufgabe nach der anderen zu arbeiten, bis sie erledigt ist.",Tamamlanana kadar her seferinde tek bir görev üzerinde çalışmayı tercih ederim.,"Я предпочитаю работать над одной задачей за раз, пока она не будет завершена.",میں ایک وقت میں ایک کام پر کام کرنے کو ترجیح دیتا ہوں جب تک کہ یہ مکمل نہ ہو جائے۔,من ترجیح می‌دهم تا زمانی که کار به پایان برسد، هر بار روی یک کار کار کنم.,Je préfère travailler sur une tâche à la fois jusqu'à ce qu'elle soit terminée.,मैं एक समय में एक ही काम पर तब तक काम करना पसंद करता हूं जब तक वह पूरा न हो जाए।
I feel energized by being around people and socializing.,أشعر بالنشاط من خلال التواجد حول الناس والتواصل الاجتماعي.,I feel energized by being around people and socializing.,Me siento lleno de energía al estar rodeado de gente y socializar.,Mi sento pieno di energia stando in mezzo alle persone e socializzando.,"Ich fühle mich energisch, wenn ich mit Menschen zusammen bin und Kontakte knüpfe.",İnsanların yanında olmaktan ve sosyalleşmekten kendimi enerji dolu hissediyorum.,"Я чувствую прилив энергии, находясь рядом с людьми и общаясь.",میں لوگوں کے ارد گرد رہنے اور سماجی ہونے سے حوصلہ افزائی محسوس کرتا ہوں.,من با بودن در کنار مردم و معاشرت احساس انرژی می کنم.,Je me sens plein d'énergie en étant entouré de gens et en socialisant.,मैं लोगों के बीच रहने और मेलजोल से ऊर्जावान महसूस करता हूं।
