sympol,ar,en,es,it,ur,fr,de,tr,ru,fa
mishari_alafasy_roqia,رقية بصوت مشارى العفاسى,mishari_alafasy_roqia,Ruqaya con la voz de Mashri al -afasi,Ruqaya con la voce di Mashri al -Afasi,مشری الفاسی کی آواز کے ساتھ روکایا,Ruqaya avec la voix de Mashri al -afasi,Ruqaya mit der Stimme von Mashri al -Afasi,Mashri al -Afasi'nin sesi ile ruqaya,Ruqaya с голосом Машри Аль -Афаси,Ruqaya با صدای مشری آل -افاسی
edrees_abkar_roqia,رقية بصوت ادريس أبكر,Edrees Abkar Roqia,Ruqaya con la voz de Idris antes,Ruqaya con la voce di Idris prima,اس سے قبل ادریس کی آواز کے ساتھ روکایا,Ruqaya avec la voix d'Idris plus tôt,Ruqaya mit der Stimme von Idris früher,Ruqaya daha önce Idris'in sesi ile,Рукая с голосом Идриса ранее,Ruqaya با صدای ادریس زودتر
minshawi_roqia,رقية بصوت المنشاوى,Minshawi Roqia,Ruqaya con la voz de al -minshawi,Ruqaya con la voce di al -minshawi,الدونشاوی کی آواز کے ساتھ روکایا,Ruqaya avec la voix d'Al-Minshawi,Ruqaya mit der Stimme von al -Minshawi,Al -Minshawi'nin sesi ile Ruqaya,Ruqaya с голосом Аль -Миншави,ruqaya با صدای المینشوی
mohamed_al_bana_roqia,رقية بصوت محمد البنا,Mohamed Al bana Roqia,Ruqaya con la voz de Muhammad al -Banna,Ruqaya con la voce di Muhammad al -banna,روکایا محمد البنا کی آواز کے ساتھ,Ruqaya avec la voix de Muhammad al -Banna,Ruqaya mit der Stimme von Muhammad al -Banna,Muhammed al -banna'nın sesi ile ruqaya,Рукая с голосом Мухаммеда Аль -Банна,Ruqaya با صدای محمد البنا
ain_and_hasad_roqia,رقية بصوت العين والحسد,Ain and Hasad Roqia,Ruqaya con ojo y envidia,Ruqaya con un occhio e invidia,آنکھ اور حسد کے ساتھ روقیا,Ruqaya avec un œil et une envie,Ruqaya mit Auge und Neid,Göz ve kıskançlıkla Ruqaya,Рукия с глазами и завистью,ruqaya با چشم و حسادت
repeated_korsi_character,أية الكرسى مكرر,Repeated Korsi Character,Cualquier silla se repite,Qualsiasi sedia viene ripetuta,کسی بھی کرسی کو دہرایا جاتا ہے,N'importe quelle chaise est répétée,Jeder Stuhl wird wiederholt,Herhangi bir sandalye tekrarlanır,Любой стул повторяется,هر صندلی تکرار می شود
falaq_and_nas_roqia,رقية سورتى الفلق والناس,Falaq and Nas Roqia,Ruqaya suri al -falaf y la gente,Ruqaya Suri al -falaf e la gente,روکایا سوری الفالاف اور لوگ,Ruqaya Suri al -falaf et le peuple,Ruqaya Suri al -Falaf und die Menschen,Ruqaya Suri al -falaf ve insanlar,Ruqaya suri al -falaf и люди,Ruqaya Suri al -falaf و مردم
mohamed_jebril_doaa_roqia,رقية بصوت محمد جبريل,Mohamed Jebril Doaa Roqia,Ruqaya con la voz de Muhammad Jibril,Ruqaya con la voce di Muhammad Jibril,محمد جبرل کی آواز کے ساتھ روکایا,Ruqaya avec la voix de Muhammad Jibril,Ruqaya mit der Stimme von Muhammad Jibril,Muhammed Jibril'in sesi ile Ruqaya,Рукая с голосом Мухаммеда Джибрила,Ruqaya با صدای محمد جبریل
quranic_roqia,الرقية الشرعية من القران الكريم,Quranic Roqia,El ruqyah legal del Sagrado Corán,Il ruqyah legale dal sacro Corano,قرآن مجید سے قانونی روقیہ,La ruqyah légale du Saint Coran,Die legale Ruqyah aus dem Heiligen Koran,Kur'an -ı Kerimden Yasal Ruqyah,Законное рукья из Священного Корана,Ruqyah قانونی از قرآن کریم
roqia_sunnah,الرقية الشرعية من السنة النبوية,Roqia Sunnah,La ruqyah legal de la sunnah del profeta,Il ruqyah legale dalla sunnah del profeta,نبی of کی سنت سے قانونی روقیہ,La ruqyah légale de la Sunna du Prophète,Die legale Ruqyah aus der Sunnah des Propheten,Peygamberin Sünnetinden Yasal Ruqyah,Законное рукья от сунны Пророка,Ruqyah قانونی از سنت پیامبر
quran_doaa,أدعية من القران الكريم,Quran Doaa,Súplicas del Sagrado Corán,Supplicazione dal Sacro Corano,قرآن مجید کی طرف سے درخواستیں,Supplications du Saint Coran,Flehen aus dem Heiligen Koran,Kur'an -ı Kerimden,Просьба от Священного Корана,دعا از قرآن کریم
salah,الصلاة,Salah,el orador,la preghiera,نماز,la prière,das Gebet,namaz,священник,نماز
quran,القرآن,Quran,El Corán,Il Corano,قرآن,Le Coran,Der Koran,Kuran,Коран,قرآن
azkar,أذكار,Azkar,Recordativo,Ricordando,یاد دلانے,Rappelant,Erinnert,Hatırlatan,Напоминание,یادگار
culture,ثقافة,Culture,cultura,cultura,ثقافت,culture,Kultur,kültür,культура,فرهنگ
asmaa_allah_husna,أسماء الله الحسنى,God Names,Nombres de dios,Nomi di Dio,خدا کے نام,Noms d'Allah,Gott Namen,Allah'ın isimleri,Божьи имена,نام خدا
Profile,حساب تعريفي,profile,Cuenta de introducción,Conto di introduzione,تعارف اکاؤنٹ,Compte d'introduction,Einführungskonto,Giriş hesabı,ВВЕДЕНИЕ СЧЕТА,حساب مقدمه
Settings,إعدادات,settings,Ajustes,Impostazioni,ترتیبات,Paramètres,Einstellungen,Ayarlar,Настройки,تنظیمات
share_app,مشاركة التطبيق,Share application,Solicitud de compartir,Condividi,درخواست شیئر کریں,Partage,Antrag teilen,Paylaş başvurusu,Поделиться приложением,برنامه مشترک
hours,ساعات,hours,horas,ore,گھنٹے,heures,Std.,saat,часы,ساعت ها
and,و,and,Y,E,اور,Et,Und,Ve,И,وت
minutes,دقائق,minutes,minutos,minuti,منٹ,minutes,Protokoll,dakikalar,минуты,دقایق
to,ل,to,a,A,to,à,Zu,ile,к,به
فضل ذكر الله,فضل ذكر الله,The preference of remembrance of God,La preferencia del recuerdo de Dios,La preferenza del ricordo di Dio,خدا کی یاد کی ترجیح,La préférence de souvenir de Dieu,Die Präferenz der Erinnerung an Gott,Tanrı'nın anma tercihi,Предпочтение воспоминания о Боге,اولویت یادآوری خدا
أذكار النوم,أذكار النوم,Sleep remembrance,Recuerdo del sueño,Remembrance del sonno,نیند کی یاد,Souvenir de sommeil,Schlafinnerung,Uyku hatırası,Воспоминание со сном,یادآوری خواب
أدعية عند الاستيقاظ,أدعية عند الاستيقاظ,Supplications when waking up,Súplicas al despertar,Supplicazione durante il risveglio,جب جاگتے ہو تو درخواستیں,Supplications lorsque vous vous réveillez,Bitten beim Aufwachen,Uyanırken,Мольбы при пробуждении,دعا هنگام بیدار شدن
أذكار الصباح والمساء,أذكار الصباح والمساء,Morning and Evening Prayers,Oraciones de la mañana y de la tarde,Preghiere mattutine e serali,صبح اور شام کی دعائیں,Prières du matin et du soir,Morgen- und Abendgebete,Sabah ve Akşam Duaları,Утренние и вечерние молитвы,نماز صبح و عصر
أذكار الخلاء,أذكار الخلاء,Delights of the emptiness,Delicias del vacío,Delizie del vuoto,خالی پن کی خوشی,Délices du vide,Freuden der Leere,Boşluğun lezzetleri,Прелести пустоты,لذت پوچی
الوضوء,الوضوء,Ablution,Ablución,Abluzione,وضو,Ablution,Waschung,Abartı,Омовение,شستشو
أذكار الصلاة,أذكار الصلاة,Declaration of prayer,Declaración de oración,Dichiarazione di preghiera,دعا کا اعلان,Déclaration de prière,Gebetserklärung,Dua Beyanı,Декларация молитвы,اعلام دعا
أدعية الصائم,أدعية الصائم,Supplications of the fasting person,Súplicas de la persona en ayunas,Supplicazione della persona a digiuno,روزہ رکھنے والے شخص کی فراہمی,Supplications de la personne à jeun,Anzeichen der Fastenperson,Oruç Kişinin Denetimi,Просьба постинного человека,دعاوی فرد روزه دار
أذكار اللباس,أذكار اللباس,Dress remembrance,Recuerdo de vestir,Abito Remembrance,لباس کی یاد,Souvenir de la robe,Kleidung Erinnerung,Anma hatırası,Платье память,یادآوری لباس
أذكار الطعام,أذكار الطعام,Delivery of the food,Entrega de la comida,Consegna del cibo,کھانے کی فراہمی,Livraison de la nourriture,Lieferung der Lebensmittel,Yiyeceklerin Teslimatı,Доставка еды,تحویل غذا
أذكار المنزل,أذكار المنزل,Declaration of the house,Declaración de la casa,Dichiarazione della casa,گھر کا اعلان,Déclaration de la maison,Erklärung des Hauses,Evin beyanı,Декларация дома,اعلامیه خانه
التوبة والاستغفار,التوبة والاستغفار,Repentance and forgiveness,Arrepentimiento y perdón,Pentimento e perdono,توبہ اور معافی,Repentir et pardon,Reue und Vergebung,Tövbe ve affetme,Покаяние и прощение,توبه و بخشش
دعاء المسجد,دعاء المسجد,The supplication of the mosque,La súplica de la mezquita,La supplica della moschea,مسجد کی التجا,La supplication de la mosquée,Das Flehen der Moschee,Caminin,Просьба мечети,دعای مسجد
دعاء المريض,دعاء المريض,Patient supplication,Súplica de paciente,Supplica del paziente,مریض کی درخواست,Supplication des patients,Patientendaten,Hasta İncelemesi,Улишение пациента,دعاء بیمار
دعاء الميت والجنازة,دعاء الميت والجنازة,The supplication of the dead and the funeral,La súplica de los muertos y el funeral,La supplica dei morti e del funerale,مردہ اور آخری رسومات کی درخواست,La supplication des morts et des funérailles,Die Flehung der Toten und der Beerdigung,Ölülerin ve cenaze töreninin,Просьба мертвых и похороны,دعا مردگان و مراسم تشییع جنازه
أذكار السفر,أذكار السفر,Travel remembrance,Recuerdo de viaje,Travel Remembrance,سفر کی یاد,Souvenir des voyages,Reiseerinnerung,Seyahat anısı,Путешествие память,یادآوری سفر
أذكار المطر,أذكار المطر,Rain dhikr,Lluvia dhikr,Rain dhikr,بارش دھکر,Pluie Dhikr,Regen Dhikr,Yağmur Dhikr,Дождь Дхикр,باران Dhikr
أدعية أخرى,أدعية أخرى,Other supplications,Otras súplicas,Altre suppliche,دیگر درخواستیں,Autres supplications,Andere Bitten,Diğer İncelemeler,Другие молитвы,سایر دعاوی
فضل ذكر الله,فضل ذكر الله,The preference of remembrance of God,La preferencia del recuerdo de Dios,La preferenza del ricordo di Dio,خدا کی یاد کی ترجیح,La préférence de souvenir de Dieu,Die Präferenz der Erinnerung an Gott,Tanrı'nın anma tercihi,Предпочтение воспоминания о Боге,اولویت یادآوری خدا
أذكار النوم,أذكار النوم,Sleep remembrance,Recuerdo del sueño,Remembrance del sonno,نیند کی یاد,Souvenir de sommeil,Schlafinnerung,Uyku hatırası,Воспоминание со сном,یادآوری خواب
أدعية عند الاستيقاظ,أدعية عند الاستيقاظ,Supplications when waking up,Súplicas al despertar,Supplicazione durante il risveglio,جب جاگتے ہو تو درخواستیں,Supplications lorsque vous vous réveillez,Bitten beim Aufwachen,Uyanırken,Мольбы при пробуждении,دعا هنگام بیدار شدن
أذكار الصباح والمساء,أذكار الصباح والمساء,Morning and Evening Prayers,Oraciones de la mañana y de la tarde,Preghiere mattutine e serali,صبح اور شام کی دعائیں,Prières du matin et du soir,Morgen- und Abendgebete,Sabah ve Akşam Duaları,Утренние и вечерние молитвы,نماز صبح و عصر
دعاء دخول الحمام,دعاء دخول الحمام,A supplication for entering the bathroom,Una súplica para ingresar al baño,Una supplica per entrare in bagno,باتھ روم میں داخل ہونے کے لئے ایک درخواست,Une supplication pour entrer dans la salle de bain,Eine Flehung zum Betreten des Badezimmers,Tuvalete girmek için bir denetim,Просьба о входе в ванную,دعایی برای ورود به حمام
دعاء الخروج من الحمام,دعاء الخروج من الحمام,A prayer out of the bathroom,Una oración fuera del baño,Una preghiera fuori dal bagno,باتھ روم سے باہر ایک دعا,Une prière dans la salle de bain,Ein Gebet aus dem Badezimmer,Banyo dışında bir dua,Молитва из ванной,یک دعا از دستشویی
ماذا يقول قبل الوضوء,ماذا يقول قبل الوضوء,What says before ablution,Lo que dice antes de la ablución,Cosa dice prima dell'Ablution,عدم استحکام سے پہلے کیا کہتا ہے,Ce qui dit avant l'ablution,Was sagt vor der Waschung,Ablution'dan önce ne diyor,Что говорит перед омрованием,آنچه قبل از وضوح می گوید
ماذا يقول قبل الوضوء,ماذا يقول قبل الوضوء,What says before ablution,Lo que dice antes de la ablución,Cosa dice prima dell'Ablution,عدم استحکام سے پہلے کیا کہتا ہے,Ce qui dit avant l'ablution,Was sagt vor der Waschung,Ablution'dan önce ne diyor,Что говорит перед омрованием,آنچه قبل از وضوح می گوید
ماذا يقول عند الانتهاء من الوضوء,ماذا يقول عند الانتهاء من الوضوء,What does he say when you are done,¿Qué dice él cuando termines?,Cosa dice quando hai finito,جب آپ کے کام ہوجاتے ہیں تو وہ کیا کہتا ہے؟,Que dit-il quand tu as fini,"Was sagt er, wenn Sie fertig sind?",İşiniz bittiğinde ne diyor,"Что он говорит, когда ты закончишь",وقتی تمام شد او چه می گوید
الدعاء أثناء الركوع (الركوع في الصلاة),الدعاء أثناء الركوع (الركوع في الصلاة),Supplication during bowing (bowing in prayer),Súplica durante la inclinación (inclinarse en la oración),Supplica durante l'arco (inchinamento in preghiera),رکوع کے دوران درخواست (دعا میں جھکنا),Supplication lors de la s'incliner (s'incliner dans la prière),Flehen während des Beugens (Beugen im Gebet),Eğim sırasında denetim (duada eğilme),Просьба во время поклонения (поклонись в молитве),دعا در هنگام تعظیم (تعظیم در نماز)
دعاء التشهد (الجلوس في الصلاة),دعاء التشهد (الجلوس في الصلاة),Doaa tashahhud (sitting in prayer),Doaa Tashahhud (sentado en oración),Doaa tashahhud (seduto in preghiera),دووا تاشاہود (دعا میں بیٹھے),Doaa Tashahhud (assise dans la prière),Doaa tashahhud (sitzend im Gebet),Doaa Tashahhud (duada oturuyor),Доаа Ташаххуд (сидя в молитве),Doaa Tashahhud (نشستن در نماز)
ماذا يقول مباشرة بعد صلاة الوتر,ماذا يقول مباشرة بعد صلاة الوتر,What does he say immediately after the Witr prayer,¿Qué dice él inmediatamente después de la oración,Cosa dice immediatamente dopo la preghiera di Witr,وِٹر کی دعا کے فورا. بعد وہ کیا کہتا ہے؟,Que dit-il immédiatement après la prière de Witr,Was sagt er unmittelbar nach dem Witzgebet?,Witr namazından hemen sonra ne diyor?,Что он говорит сразу после молитвы WITR,او بلافاصله پس از دعای ویتر چه می گوید
ماذا يقول بعد الانتهاء من الصلاة,ماذا يقول بعد الانتهاء من الصلاة,What does he say after completing the prayer,¿Qué dice él después de completar la oración?,Cosa dice dopo aver completato la preghiera,وہ دعا کو مکمل کرنے کے بعد کیا کہتا ہے؟,Que dit-il après avoir terminé la prière,Was sagt er nach Abschluss des Gebets,Duayı tamamladıktan sonra ne diyor,Что он говорит после завершения молитвы,او پس از اتمام نماز چه می گوید
أدعية لفطر الصيام,أدعية لفطر الصيام,Supplications for fasting fast,Súplicas para ayunar,Supplicazione per il digiuno veloce,روزہ رکھنے کے ل supplits درخواستیں,Supplications pour le jeûne jeûne,Bitten zum Fasten schnell,Hızlı oruç tutma,Просьба для быстрого наставления,دعا برای روزه گرفتن
أدعية لفطر الصيام,أدعية لفطر الصيام,Supplications for fasting fast,Súplicas para ayunar,Supplicazione per il digiuno veloce,روزہ رکھنے کے ل supplits درخواستیں,Supplications pour le jeûne jeûne,Bitten zum Fasten schnell,Hızlı oruç tutma,Просьба для быстрого наставления,دعا برای روزه گرفتن
دعاء رؤية الهلال الجديد,دعاء رؤية الهلال الجديد,Doaa see the new crescent,Doaa ver la nueva media luna,Doaa vedi la nuova mezzaluna,دووا نیا کریسنٹ دیکھیں,Doaa voir le nouveau croissant,DOAA sehen den neuen Halbmond,Doaa yeni hilal gör,DOAA увидеть новый полумесяц,doaa هلال جدید را ببینید
دعاء الصائم عند الافطار,دعاء الصائم عند الافطار,The prayer of the fasting person at breakfast,La oración de la persona en ayunas en el desayuno,La preghiera della persona a digiuno a colazione,ناشتے میں روزہ رکھنے والے شخص کی دعا,La prière du jeûne au petit déjeuner,Das Gebet der Fastenperson beim Frühstück,Kahvaltıda oruç kişinin duası,Молитва постичь за завтраком,دعای فرد روزه دار در صبحانه
الدعاء عند لبس الملابس,الدعاء عند لبس الملابس,Supplication when wearing clothes,Súplica al usar ropa,Supplica quando indossi i vestiti,جب کپڑے پہنتے ہو تو درخواست,Supplication lorsque vous portez des vêtements,Flehen beim Tragen von Kleidung,Kıyafet giyerken denetim,Просьба при ношении одежды,دعا هنگام پوشیدن لباس
اللباس الجديد,اللباس الجديد,New dress,Vestido nuevo,Vestito nuovo,نیا لباس,Nouvelle robe,Neues Kleid,Yeni elbise,Новое платье,لباس جدید
"الدعاء عند لبس الملابس, اللباس الجديد","الدعاء عند لبس الملابس, اللباس الجديد","Supplication when wearing clothes, the new dress","Súplica al usar ropa, el vestido nuevo","Supplica quando indossa abiti, il nuovo vestito",جب کپڑے پہنے ، نیا لباس پہنتے ہو تو درخواست,"Supplication lorsque vous portez des vêtements, la nouvelle robe","Flehen beim Tragen von Kleidung, das neue Kleid","Giysiler giyerken, yeni elbise","Просьба при ношении одежды, новое платье",دعا هنگام پوشیدن لباس ، لباس جدید
ماذا أقول عند خلع الملابس,ماذا أقول عند خلع الملابس,What do I say when dislocating clothes,¿Qué digo al dislocar la ropa?,Cosa dico quando si slogano i vestiti,کپڑے منتشر کرتے وقت میں کیا کہوں؟,Que dis-je lors de la dislocation des vêtements,"Was sage ich, wenn ich Kleidung verströmt habe",Kıyafetleri yerinden çıkarırken ne diyorum,"Что я могу сказать, когда вывих",هنگام جابجایی لباس چه می گویم
الدعاء عند لبس الملابس الجديدة,الدعاء عند لبس الملابس الجديدة,Supplication when wearing new clothes,Súplica al usar ropa nueva,Supplica quando indossi abiti nuovi,جب نئے کپڑے پہنتے ہیں تو درخواست,Supplication lorsque vous portez de nouveaux vêtements,Flehen beim Tragen neuer Kleidung,Yeni kıyafetler giyerken denetim,Просьба при новой одежде,دعا هنگام پوشیدن لباس جدید
الدعاء بعد الأكل,الدعاء بعد الأكل,Supplication after eating,Súplica después de comer,Supplica dopo aver mangiato,کھانے کے بعد درخواست,Supplication après avoir mangé,Flehen nach dem Essen,Yemekten sonra denetim,Просьба после еды,دعا بعد از غذا خوردن
ماذا أقول عند دخول المنزل,ماذا أقول عند دخول المنزل,What do I say when entering the house,¿Qué digo al entrar en la casa?,Cosa dico quando entri in casa,گھر میں داخل ہوتے وقت میں کیا کہوں؟,Que dis-je en entrant dans la maison,Was sage ich beim Betreten des Hauses,Eve girerken ne diyorum,"Что мне сказать, когда въезжаю в дом",هنگام ورود به خانه چه می گویم
دعاء ضيف العشاء لمضيفه,دعاء ضيف العشاء لمضيفه,Dua of dinner guest for his host,Dua de invitado a cenar para su anfitrión,Dua of Dinner Ospite per il suo ospite,اپنے میزبان کے لئے رات کے کھانے کے مہمان کی دعا,Dua du dîner invité pour son hôte,Dua des Abendessens Gast für seinen Gastgeber,Ev sahibi için akşam yemeği misafiri dua,Дуа ужина гость для своего хозяина,مهمان شام برای میزبان خود
ماذا يقول أثناء الجلوس في المجلس,ماذا يقول أثناء الجلوس في المجلس,What says while sitting in the council,¿Qué dice mientras está sentado en el consejo?,Cosa dice mentre era seduto in consiglio,کونسل میں بیٹھے ہوئے کیا کہتا ہے,Ce qui dit en étant assis au conseil,"Was sagt, während er im Rat sitzt",Konseyde otururken ne diyor,"Что говорит, сидя в совете",آنچه می گوید در حالی که در شورا نشسته است
ماذا أقول عند الخروج من المنزل,ماذا أقول عند الخروج من المنزل,What do I say when leaving the house,¿Qué digo al salir de casa?,Cosa dico quando esci da casa,گھر چھوڑتے وقت میں کیا کہوں؟,Que dis-je en quittant la maison,"Was sage ich, wenn ich das Haus verlasse",Evden ayrılırken ne diyorum,"Что мне сказать, когда выходим из дома",هنگام ترک خانه چه می گویم
كفارة المجلس,كفارة المجلس,Atonement of the Council,Expitación del consejo,Espiazione del consiglio,کونسل کا کفارہ,Expiation du conseil,Sühne des Rates,Konseyin kefareti,Искупление совета,کفاره شورا
دعاء الغضب,دعاء الغضب,Prayer of anger,Oración de ira,Preghiera di rabbia,غصے کی دعا,Prière de colère,Gebet des Ärgers,Öfke Duası,Молитва гнева,دعای عصبانیت
التوبة والاستغفار,التوبة والاستغفار,Repentance and forgiveness,Arrepentimiento y perdón,Pentimento e perdono,توبہ اور معافی,Repentir et pardon,Reue und Vergebung,Tövbe ve affetme,Покаяние и прощение,توبه و بخشش
دعاء الذهاب إلى المسجد,دعاء الذهاب إلى المسجد,Doaa go to the mosque,Doaa va a la mezquita,Doaa vai alla moschea,دووا مسجد میں جاتے ہیں,Doaa va à la mosquée,DOAA gehen in die Moschee,Doaa camiye git,Доаа иди в мечеть,دوا به مسجد بروید
دعاء دخول المسجد,دعاء دخول المسجد,Doaa enter the mosque,DOAA Entra en la mezquita,Doaa entra nella moschea,دووا مسجد میں داخل ہوا,Doaa entre dans la mosquée,DOAA betreten die Moschee,Doaa camiye giriyor,DOAA входит в мечеть,DOAA وارد مسجد شوید
دعاء الخروج من المسجد,دعاء الخروج من المسجد,Doaa leaving the mosque,Doaa sale de la mezquita,Doaa che lascia la moschea,دووا مسجد چھوڑ رہے ہیں,Doaa quittant la mosquée,DOAA verlässt die Moschee,Doaa Camii terk ediyor,DOAA покидает мечеть,دوا از مسجد خارج می شود
الاستخارة (طلب مشورة الله),الاستخارة (طلب مشورة الله),Istikhara (requesting the advice of God),Istikhara (solicitando el consejo de Dios),Istikhara (che richiede il consiglio di Dio),استخارا (خدا کے مشورے کی درخواست),Istikhara (demandant les conseils de Dieu),Istikhara (Anfragen des Rates Gottes),İstikhara (Tanrı'nın tavsiyesini talep etmek),Истихара (просит совета Бога),استیخارا (درخواست توصیه خدا)
ثواب زيارة المريض,ثواب زيارة المريض,The reward for visiting the patient,La recompensa por visitar al paciente,La ricompensa per aver visitato il paziente,مریض سے ملنے کا انعام,La récompense pour avoir visité le patient,Die Belohnung für den Besuch des Patienten,Hastayı ziyaret etmenin ödülü,Награда за посещение пациента,پاداش مراجعه به بیمار
دعاء المريض,دعاء المريض,Patient supplication,Súplica de paciente,Supplica del paziente,مریض کی درخواست,Supplication des patients,Patientendaten,Hasta İncelemesi,Улишение пациента,دعاء بیمار
ماذا تقول عندما تشعر بألم في جسدك,ماذا تقول عندما تشعر بألم في جسدك,What do you say when you feel pain in your body,¿Qué dices cuando sientes dolor en tu cuerpo?,Cosa dici quando senti dolore nel tuo corpo,جب آپ اپنے جسم میں درد محسوس کرتے ہیں تو آپ کیا کہتے ہیں؟,Que dites-vous quand vous ressentez de la douleur dans votre corps,"Was sagst du, wenn du Schmerzen in deinem Körper fühlst?",Vücudunda acı hissettiğinde ne dersin,"Что ты скажешь, когда чувствуешь боль в своем теле",وقتی احساس درد در بدن می کنید چه می گویید
أدعية المرض النهائي,أدعية المرض النهائي,Supplications of the final disease,Súplicas de la enfermedad final,Supplicazione della malattia finale,حتمی بیماری کی فراہمی,Supplications de la maladie finale,Anzeichen der endgültigen Krankheit,Nihai hastalığın denetimleri,Просьба конечной болезни,دعاوی بیماری نهایی
الدعاء عند وقوع المصيبة,الدعاء عند وقوع المصيبة,Supplication when the calamity occurs,Súplica cuando ocurre la calamidad,Supplica quando si verifica la calamità,جب تباہی ہوتی ہے تو اس کی درخواست ہوتی ہے,Supplication lorsque la calamité se produit,"Flehen, wenn das Unglück auftritt",Felaket meydana geldiğinde,"Просьба, когда происходит бедствие",دعا وقتی فاجعه رخ می دهد
ما يجب تشجيع الشخص المحتضر على قوله,ما يجب تشجيع الشخص المحتضر على قوله,What should be encouraged by the dying person to say,Lo que la persona moribunda debe alentar a decir,Cosa dovrebbe essere incoraggiato dalla persona morente a dire,مرنے والے شخص کی طرف سے کیا حوصلہ افزائی کی جانی چاہئے,Ce qui devrait être encouragé par la mourante à dire,"Was sollte von der Sterbenden ermutigt werden, zu sagen",Ölmekte olan kişi tarafından ne teşvik edilmelidir?,Что следует поощрять умирающий,چه چیزی باید توسط فرد در حال مرگ تشویق شود
دعاء الميت في صلاة الجنازة,دعاء الميت في صلاة الجنازة,The supplication of the dead in the funeral prayer,La súplica de los muertos en la oración fúnebre,La supplica dei morti nella preghiera funebre,آخری رسومات میں مردہ افراد کی درخواست,La supplication des morts dans la prière funéraire,Das Flehen der Toten im Begräbnisgebet,Cenaze Duası'nda ölülerin denetlenmesi,Просьба мертвых в похоронной молитве,دعا مردگان در دعای تشییع جنازه
دعاء الميت,دعاء الميت,dead person prayer,Oración de la persona muerta,Preghiera della persona morta,مردہ شخص کی دعا,Prière de personne morte,Totes Gebet,ölü kişi duası,молитва мертвого человека,نماز مرده
أدعية للطفل في صلاة الجنازة,أدعية للطفل في صلاة الجنازة,Supplications for the child in the funeral prayer,Súplicas para el niño en la oración del funeral,Supplicazione per il bambino nella preghiera funebre,جنازے کی نماز میں بچے کے ل supplications درخواستیں,Supplications pour l'enfant dans la prière funéraire,Bitten für das Kind im Begräbnisgebet,Cenaze Namazında Çocuğa Destekler,Просьба для ребенка в похоронной молитве,دعا برای کودک در دعای تشییع جنازه
دعاء تغميض عيون الميت,دعاء تغميض عيون الميت,A supplication that closes the eyes of the dead,Una súplica que cierra los ojos de los muertos,Una supplica che chiude gli occhi dei morti,ایک ایسی درخواست جو مردوں کی آنکھیں بند کردیتی ہے,Une supplication qui ferme les yeux des morts,"Eine Flehung, die die Augen der Toten schließt",Ölülerin gözlerini kapatan bir denetim,"Просьба, которое закрывает глаза мертвых",دعایی که چشم مردگان را می بندد
دعاء للمفجوعين,دعاء للمفجوعين,A prayer for the hungry,Una oración por los hambrientos,Una preghiera per gli affamati,بھوکے کے لئے دعا,Une prière pour les affamés,Ein Gebet für die Hungrigen,Açlar için bir dua,Молитва за голодные,دعایی برای گرسنه
دعاء زيارة القبور,دعاء زيارة القبور,Doaa visit graves,DOAA Visita Graves,DOAA Visita Graves,ڈووا قبروں کا دورہ کریں,Doaa visite les tombes,DOAA besuchen Gräber,Doaa Graves'i ziyaret edin,Доаа посещает Грейвс,DOAA از قبرها بازدید کنید
ما يجب تشجيع الشخص المحتضر على قوله,ما يجب تشجيع الشخص المحتضر على قوله,What should be encouraged by the dying person to say,Lo que la persona moribunda debe alentar a decir,Cosa dovrebbe essere incoraggiato dalla persona morente a dire,مرنے والے شخص کی طرف سے کیا حوصلہ افزائی کی جانی چاہئے,Ce qui devrait être encouragé par la mourante à dire,"Was sollte von der Sterbenden ermutigt werden, zu sagen",Ölmekte olan kişi tarafından ne teşvik edilmelidir?,Что следует поощрять умирающий,چه چیزی باید توسط فرد در حال مرگ تشویق شود
الدعاء الذي يقال بعد دفن الميت,الدعاء الذي يقال بعد دفن الميت,The supplication that is said after the burial of the dead,La súplica que se dice después del entierro de los muertos,La supplica che viene detto dopo la sepoltura dei morti,درخواست جو مردہ کی تدفین کے بعد کہی جاتی ہے,La supplication qui est dite après l'enterrement des morts,"Die Flehung, die nach der Beerdigung der Toten gesagt wird",Ölülerin gömülmesinden sonra söylenen denetim,"Просьба, которое сказано после захоронения мертвых",دعا که پس از دفن مردگان گفته می شود
دعاء للسفر,دعاء للسفر,A prayer for travel,Una oración por viajar,Una preghiera per il viaggio,سفر کے لئے دعا,Une prière pour les voyages,Ein Gebet für Reisen,Seyahat için Dua,Молитва за путешествие,دعایی برای سفر
دعاء دخول بلدة أو مدينة,دعاء دخول بلدة أو مدينة,A supplication to enter a town or a city,Una súplica para ingresar a una ciudad o una ciudad,Una supplica per entrare in una città o in una città,کسی شہر یا شہر میں داخل ہونے کے لئے ایک درخواست,Une supplication pour entrer dans une ville ou une ville,"Ein Flehen, um eine Stadt oder eine Stadt zu betreten",Bir şehre veya şehre girmek için bir denetim,"Просьба, чтобы войти в город или город",یک دعای برای ورود به یک شهر یا شهر
